sample,Angiogenesis_Score,Growth_Suppression_Score
TCGA-KC-A7FA-01A-21R-A33R-07,4.045119640217202,3.895280021809271
TCGA-HC-8257-01A-11R-2263-07,4.142062455439163,4.109728755187749
TCGA-KK-A6E4-01A-11R-A30B-07,3.2277208694328734,3.3867718480868274
TCGA-HC-7745-01A-11R-2118-07,4.691569157095346,4.419374591750803
TCGA-KK-A5A1-01A-11R-A29R-07,4.143751834736785,4.086628741282633
TCGA-KK-A8IH-01A-11R-A36G-07,4.1018936511947635,4.096644763596098
TCGA-J4-A6G1-01A-11R-A311-07,4.712355802073677,4.408663444716568
TCGA-KK-A7AU-01A-11R-A32O-07,3.558679643060931,3.726008378158229
TCGA-EJ-5495-01A-01R-1580-07,5.090662077696716,4.644793195552932
TCGA-FC-A66V-01A-21R-A30B-07,3.4225114484093693,3.505275714234477
TCGA-G9-7523-01A-11R-2263-07,4.815217827982873,4.29615565448792
TCGA-HC-7230-01A-11R-2118-07,4.031736254291937,4.078557873258618
TCGA-YL-A8SL-01B-21R-A37L-07,3.882999250330457,4.038017276237086
TCGA-KK-A7AQ-01A-11R-A33R-07,3.7444657584699734,3.659495732735212
TCGA-EJ-A46I-01A-12R-A26U-07,4.468163351294959,4.402849365006935
TCGA-EJ-A7NJ-01A-22R-A352-07,4.246516262117968,4.217051229058955
TCGA-HI-7169-01A-11R-2118-07,3.9741267014682986,3.8164159512850033
TCGA-WW-A8ZI-01A-11R-A37L-07,4.171861959481186,4.160841186839259
TCGA-EJ-7793-01A-31R-2263-07,4.113247505888837,4.088317566511003
TCGA-J4-A83N-01A-11R-A352-07,3.835755166482883,3.854299597233713
TCGA-HC-7738-01A-11R-2118-07,4.053882671208825,4.11361993302785
TCGA-ZG-A9L6-01A-11R-A41O-07,4.703129028603589,4.381703415690737
TCGA-2A-A8VV-01A-11R-A37L-07,3.9240219779181023,3.9001407847799503
TCGA-KC-A7FE-01A-12R-A33R-07,4.557167600807098,4.323393428910136
TCGA-H9-7775-01A-11R-2118-07,4.242442832020098,4.153190331180384
TCGA-SU-A7E7-01A-22R-A33R-07,4.603637629242761,4.409233930613327
TCGA-VN-A88N-01A-11R-A36G-07,3.899566780388094,3.931645321676867
TCGA-EJ-5510-01A-01R-1580-07,4.447751991128089,4.335826598288023
TCGA-J4-A6M7-01A-11R-A31N-07,4.104572127386703,4.15146495151033
TCGA-HC-7209-01A-11R-2118-07,4.424001166622266,4.276296816858932
TCGA-ZG-A9LU-01A-11R-A41O-07,4.125823536473268,4.011952076965375
TCGA-CH-5791-01A-11R-1580-07,4.27038938171053,4.221343377473522
TCGA-XJ-A83H-01A-11R-A352-07,4.324158440571846,4.139387872416893
TCGA-V1-A9OY-01A-11R-A41O-07,4.252205209200958,4.1546278818617655
TCGA-EJ-8472-01A-11R-2403-07,4.265297227969325,4.244088081473375
TCGA-VP-A87K-01A-11R-A352-07,3.8501010499978117,3.9824296958066676
TCGA-QU-A6IL-01A-11R-A31N-07,3.302654695067786,3.2510170351331724
TCGA-KK-A6E6-01A-11R-A311-07,4.391423283967626,4.244850054310582
TCGA-VN-A943-01A-11R-A41O-07,3.4141348842251498,3.599120118564914
TCGA-VP-A87D-01A-11R-A352-07,3.9852963708756803,4.071574131170883
TCGA-2A-A8VO-01A-11R-A37L-07,3.9637453218036485,3.8524620089160813
TCGA-G9-6365-01A-11R-1789-07,4.470185381288118,4.243299367575618
TCGA-EJ-5505-01A-01R-1580-07,4.122846493021207,4.230672022706965
TCGA-HC-A9TE-01A-11R-A41O-07,4.613559048810458,4.4016310483923835
TCGA-G9-6363-01A-21R-1789-07,3.924352840526961,3.8373138256767354
TCGA-KC-A7F6-01A-11R-A33R-07,4.211429317621513,4.126882756323131
TCGA-KK-A8II-01A-11R-A36G-07,3.811775107389244,4.026549207128555
TCGA-XK-AAJA-01A-11R-A41O-07,4.101802214482056,4.119624359620831
TCGA-EJ-AB27-01A-11R-A41O-07,4.29965772045477,4.164949832139051
TCGA-KC-A4BN-01A-61R-A250-07,4.311340151044083,4.170112131874748
TCGA-V1-A9Z8-01A-11R-A41O-07,4.372043953343467,4.179794248943095
TCGA-HC-A9TH-01A-11R-A41O-07,4.502726023110769,4.289319379522923
TCGA-KK-A8IC-01A-11R-A36G-07,4.631390825919042,4.4162514069824255
TCGA-CH-5739-01A-11R-1580-07,4.680266027729045,4.426086660129361
TCGA-YL-A8SI-01A-11R-A41O-07,4.400617222565774,4.1491307465006475
TCGA-EJ-7328-01A-31R-2118-07,4.638728125344061,4.383896329155628
TCGA-ZG-A9L2-01A-31R-A41O-07,4.618904079103431,4.3410712780468765
TCGA-VP-A87E-01A-31R-A352-07,4.685523249777878,4.285049901405259
TCGA-EJ-5521-01A-01R-1580-07,4.017306706152255,3.9142388503624246
TCGA-CH-5765-01A-11R-1580-07,4.253320054810048,4.244990575614066
TCGA-HC-7079-01A-11R-1965-07,5.303923168088479,4.78039076959692
TCGA-YL-A9WX-01A-21R-A41O-07,4.740515530619795,4.457045153372019
TCGA-ZG-A9NI-01A-11R-A41O-07,4.207886516308682,3.9867408435141103
TCGA-V1-A9OL-01A-11R-A41O-07,4.277775710750245,4.15992978954862
